book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
meanrev,AUDUSD,2019-12-16 01:00:00,2019-12-27 13:00:00,SELL,0.68708,0.69729,0.01021,stop
meanrev,EURUSD,2019-12-16 01:00:00,2019-12-23 01:00:00,SELL,1.11294,1.10783,0.01167,signal
meanrev,USDJPY,2019-12-18 01:00:00,2019-12-31 01:00:00,SELL,109.50596,108.89605,1.26441,signal
gotobi,USDJPY,2019-12-20 02:55:00,2019-12-20 08:00:00,SELL,109.38391,109.32506,0.26122,signal
meanrev,USDCAD,2019-12-23 01:00:00,2019-12-31 14:00:00,BUY,1.31496,1.30088,0.01408,stop
gotobi,USDJPY,2019-12-30 02:55:00,2019-12-30 08:00:00,SELL,109.48112,109.19056,0.20412,signal
meanrev,EURUSD,2020-01-03 01:00:00,2020-01-09 01:00:00,SELL,1.11722,1.11098,0.01216,signal
meanrev,USDJPY,2020-01-07 01:00:00,2020-01-09 01:00:00,BUY,108.37978,109.08027,1.12319,signal
gotobi,USDJPY,2020-01-10 02:55:00,2020-01-10 08:00:00,SELL,109.53912,109.57045,0.27763,signal
gotobi,USDJPY,2020-01-15 02:55:00,2020-01-15 08:00:00,SELL,109.91519,109.91557,0.28182,signal
gotobi,USDJPY,2020-01-20 02:55:00,2020-01-20 08:00:00,SELL,110.17719,110.184,0.28405,signal
gotobi,USDJPY,2020-01-24 02:55:00,2020-01-24 08:00:00,SELL,109.54983,109.54756,0.24197,signal
meanrev,EURUSD,2020-01-31 01:00:00,2020-02-03 01:00:00,BUY,1.10321,1.10856,0.00981,signal
gotobi,USDJPY,2020-01-31 02:55:00,2020-01-31 08:00:00,SELL,109.01329,109.07128,0.19357,signal
gotobi,USDJPY,2020-02-05 02:55:00,2020-02-05 08:00:00,SELL,109.43313,109.43468,0.23969,signal
gotobi,USDJPY,2020-02-10 02:55:00,2020-02-10 08:00:00,SELL,109.65212,109.77765,0.2653,signal
meanrev,GBPUSD,2020-02-12 01:00:00,2020-02-14 01:00:00,BUY,1.29559,1.3041,0.02454,signal
gotobi,USDJPY,2020-02-14 02:55:00,2020-02-14 08:00:00,SELL,109.83833,109.79589,0.2519,signal
gotobi,USDJPY,2020-02-20 02:55:00,2020-02-20 08:00:00,SELL,111.23957,111.40338,0.28456,signal
meanrev,GBPUSD,2020-02-24 01:00:00,2020-02-26 01:00:00,BUY,1.29488,1.30006,0.02121,signal
gotobi,USDJPY,2020-02-25 02:55:00,2020-02-25 08:00:00,SELL,110.89669,110.80341,0.31411,signal
gotobi,USDJPY,2020-02-28 02:55:00,2020-02-28 08:00:00,SELL,109.40785,108.88711,0.36121,signal
meanrev,GBPUSD,2020-03-05 01:00:00,2020-03-06 01:00:00,BUY,1.28681,1.29517,0.02468,signal
gotobi,USDJPY,2020-03-05 02:55:00,2020-03-05 08:00:00,SELL,107.49704,107.3797,0.52382,signal
gotobi,USDJPY,2020-03-10 03:55:00,2020-03-10 07:25:00,SELL,103.26517,104.0176,0.75243,stop
gotobi,USDJPY,2020-03-13 03:55:00,2020-03-13 09:00:00,SELL,105.12956,105.58898,0.93235,signal
gotobi,USDJPY,2020-03-19 03:55:00,2020-03-19 09:00:00,SELL,108.86387,108.83257,1.17443,signal
gotobi,USDJPY,2020-03-25 03:55:00,2020-03-25 09:00:00,SELL,111.07588,111.23602,1.28584,signal
gotobi,USDJPY,2020-03-31 03:55:00,2020-03-31 09:00:00,SELL,108.70253,108.2152,1.10665,signal
gotobi,USDJPY,2020-04-03 03:55:00,2020-04-03 09:00:00,SELL,108.07088,107.92356,0.92371,signal
gotobi,USDJPY,2020-04-10 03:55:00,2020-04-10 09:00:00,SELL,108.55317,108.4127,0.62669,signal
gotobi,USDJPY,2020-04-15 03:55:00,2020-04-15 09:00:00,SELL,107.15821,107.05438,0.54054,signal
gotobi,USDJPY,2020-04-20 03:55:00,2020-04-20 09:00:00,SELL,107.84965,107.85585,0.44645,signal
gotobi,USDJPY,2020-04-24 03:55:00,2020-04-24 09:00:00,SELL,107.71132,107.65929,0.36886,signal
gotobi,USDJPY,2020-04-30 03:55:00,2020-04-30 09:00:00,SELL,106.84766,106.47079,0.34655,signal
meanrev,AUDUSD,2020-05-01 01:00:00,2020-05-14 10:00:00,SELL,0.65038,0.6432,0.02129,end
meanrev,USDJPY,2020-05-01 01:00:00,2020-05-12 01:00:00,BUY,107.16836,107.65216,1.88139,signal
gotobi,USDJPY,2020-05-01 03:55:00,2020-05-01 09:00:00,SELL,107.28529,107.05162,0.37628,signal
meanrev,GBPUSD,2020-05-04 01:00:00,2020-05-05 01:00:00,SELL,1.24836,1.24409,0.03218,signal
meanrev,EURUSD,2020-05-05 01:00:00,2020-05-06 01:00:00,SELL,1.09016,1.08413,0.02155,signal
gotobi,USDJPY,2020-05-08 03:55:00,2020-05-08 09:00:00,SELL,106.34449,106.41897,0.33339,signal
